"Environment and Climate Change Canada"
"Monthly Values for May - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"SCHULER AGDM","50.307","-110.091","AB","11.7","3",NA,"29.6","3","-3.5","1","",,NA,"90.2","4",NA,"","12","",,NA,"180.4","2.7","3025768"
"SIBBALD WESTGARD","51.425","-110.146","AB","12.1","0",NA,"29.5","0","-6.0","0","0.0","0",NA,"58.2","0",NA,"0.0","9","","",NA,"183.8","0.8","3025928"
"THREE HILLS","51.768","-113.206","AB","10.2","8",NA,"29.2","5","-8.1","3","",,NA,"37.2","8",NA,"","4","",,NA,"178.5","0.0","3026479"
"SUNDRE A","51.778","-114.683","AB","8.2","1",NA,"29.4","1","-6.5","0","",,NA,"45.2","1",NA,"","7","",,NA,"292.7","0.0","3026KNQ"
"WIMBORNE AGCM","51.936","-113.591","AB","10.5","6",NA,"28.3","4","-6.3","4","",,NA,"32.9","7",NA,"","5","",,NA,"187.8","0.0","3027582"
"AZURE","50.512","-114.013","AB","10.6","8",NA,"28.9","6","-1.9","2","",,NA,"73.5","9",NA,"","11","",,NA,"171.0","0.0","3030450"
"BARNWELL AGDM","49.800","-112.300","AB","11.3","8",NA,"29.7","6","-2.7","3","",,NA,"44.2","9",NA,"","8","",,NA,"153.8","0.1","3030525"
"BARONS AGCM","50.026","-113.224","AB","11.1","7",NA,"29.7","5","-3.9","4","",,NA,"49.7","7",NA,"","8","",,NA,"165.2","0.0","3030529"
"BASSANO AGCM","50.893","-112.465","AB","10.5","2",NA,"30.0","1","-4.4","1","",,NA,"45.3","3",NA,"","5","",,NA,"218.3","0.1","3030540"
"BLACK DIAMOND","50.707","-114.152","AB","9.3","3",NA,"28.2","2","-4.4","1","",,NA,"24.9","28",NA,"","3","",,NA,"242.3","0.0","3030680"
"BLOOD TRIBE AGDM","49.567","-113.050","AB","10.4","4",NA,"28.4","3","-2.7","2","",,NA,"74.1","14",NA,"","9","",,NA,"204.6","0.0","3030720"
"BOW ISLAND","49.734","-111.450","AB","12.0","1",NA,"30.5","1","-2.2","1","",,NA,"60.1","1",NA,"","7","",,NA,"180.4","1.0","3030768"
"BOW ISLAND IRRIGATION AGDM","49.867","-111.383","AB","12.0","0",NA,"30.1","0","-2.0","0","",,NA,"67.0","0",NA,"","9","",,NA,"187.7","1.7","3030772"
"BROCKET AGDM","49.617","-113.817","AB","10.5","2",NA,"26.9","2","-0.8","0","",,NA,"29.0","18",NA,"","5","",,NA,"216.7","0.0","3030830"
"BROOKS","50.555","-111.849","AB","11.3","0",NA,"29.8","0","-4.1","0","",,NA,"70.8","0",NA,"","7","",,NA,"208.3","1.6","3030QLP"
"CALGARY INTL A","51.123","-114.013","AB","10.5","0",NA,"28.4","0","-1.9","0","0.2","1",NA,"68.3","0",NA,"","10","",,NA,"232.0","0.0","3031092"
"CALGARY INT'L CS","51.109","-114.000","AB","9.9","1",NA,"28.1","1","-2.6","0","",,NA,"62.4","1",NA,"","9","",,NA,"242.3","0.0","3031094"
"CARDSTON","49.201","-113.286","AB","10.3","0",NA,"26.4","0","-6.4","0","",,NA,"103.6","0",NA,"","10","",,NA,"237.9","0.0","3031322"
"CARWAY","49.001","-113.376","AB","8.9","3",NA,"24.4","2","-8.0","2","",,NA,"78.7","3",NA,"","10","",,NA,"254.2","0.0","3031402"
"CHAMPION AGDM","50.282","-113.350","AB","10.1","0",NA,"29.3","0","-2.7","0","",,NA,"55.8","1",NA,"","10","",,NA,"245.2","0.0","3031480"
"CLARESHOLM","50.004","-113.639","AB","10.3","0",NA,"29.1","0","-2.6","0","",,NA,"60.2","0",NA,"","11","",,NA,"237.4","0.0","3031640"
