"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BARONS AGCM","50.026","-113.224","AB","5.7","0",NA,"18.6","0","-7.4","0","",,NA,"63.2","0",NA,"","11","",,NA,"370.4","0.0","3030529"
"BASSANO AGCM","50.893","-112.465","AB","5.1","0",NA,"20.9","0","-6.9","0","",,NA,"22.0","0",NA,"","5","",,NA,"388.4","0.0","3030540"
"BLACK DIAMOND","50.707","-114.152","AB","4.2","0",NA,"17.3","0","-8.3","0","",,NA,"47.4","13",NA,"","7","",,NA,"414.2","0.0","3030680"
"BLOOD TRIBE AGDM","49.567","-113.050","AB","5.2","5",NA,"17.6","5","-5.9","0","",,NA,"45.8","5",NA,"","9","",,NA,"319.0","0.0","3030720"
"BOW ISLAND","49.734","-111.450","AB","7.0","0",NA,"22.0","0","-5.6","0","",,NA,"29.6","0",NA,"","7","",,NA,"329.3","0.0","3030768"
"BOW ISLAND IRRIGATION AGDM","49.867","-111.383","AB","7.0","1",NA,"21.6","1","-5.0","0","",,NA,"43.0","1",NA,"","8","",,NA,"319.0","0.0","3030772"
"BROCKET AGDM","49.617","-113.817","AB","5.3","6",NA,"17.0","4","-4.6","3","",,NA,"18.3","6",NA,"","7","",,NA,"304.7","0.0","3030830"
"BROOKS","50.555","-111.849","AB","5.6","0",NA,"20.5","0","-7.8","0","",,NA,"23.7","0",NA,"1.0","5","",,NA,"371.7","0.0","3030QLP"
"CALGARY INTL A","51.123","-114.013","AB","4.8","0",NA,"18.0","0","-6.6","0","16.6","0",NA,"67.3","0",NA,"","10","",,NA,"396.0","0.0","3031092"
"CALGARY INT'L CS","51.109","-114.000","AB","4.5","0",NA,"18.3","0","-7.6","0","",,NA,"56.4","0",NA,"","9","",,NA,"404.9","0.0","3031094"
"CARDSTON","49.201","-113.286","AB","5.7","0",NA,"17.2","0","-4.6","0","",,NA,"45.4","0",NA,"","9","",,NA,"369.1","0.0","3031322"
"CARWAY","49.001","-113.376","AB","4.2","1",NA,"14.8","1","-10.0","0","",,NA,"28.5","1",NA,"0.0","10","",,NA,"399.6","0.0","3031402"
"CHAMPION AGDM","50.282","-113.350","AB","5.1","0",NA,"18.3","0","-8.6","0","",,NA,"69.4","0",NA,"","11","",,NA,"385.8","0.0","3031480"
"CLARESHOLM","50.004","-113.639","AB","5.5","0",NA,"18.0","0","-7.7","0","",,NA,"56.5","0",NA,"","9","",,NA,"374.2","0.0","3031640"
"COP UPPER","51.076","-114.222","AB","4.7","0",NA,"18.7","0","-4.1","0","",,NA,"69.8","0",NA,"","12","",,NA,"400.1","0.0","3031875"
"ENCHANT AGDM","50.183","-112.433","AB","6.4","5",NA,"19.5","5","-5.2","1","",,NA,"20.6","7",NA,"","6","",,NA,"290.0","0.0","3032422"
"ETZIKOM AGCM","49.553","-111.054","AB","6.2","0",NA,"22.3","0","-7.8","0","",,NA,"38.1","0",NA,"","9","",,NA,"354.2","0.0","3032450"
"FINCASTLE AGDM","49.800","-112.033","AB","7.0","0",NA,"21.6","0","-5.9","0","",,NA,"16.5","4",NA,"","4","",,NA,"331.4","0.0","3032550"
"FOREMOST AGDM","49.483","-111.486","AB","6.6","9",NA,"21.0","5","-6.5","6","",,NA,"11.1","12",NA,"","3","",,NA,"239.9","0.0","3032642"
"FORT MACLEOD AGCM","49.786","-113.379","AB","5.7","0",NA,"17.8","0","-5.7","0","",,NA,"60.5","0",NA,"","10","",,NA,"368.8","0.0","3032683"
