"Environment and Climate Change Canada"
"Monthly Values for April - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"WIMBORNE AGCM","51.936","-113.591","AB","-0.1","1",NA,"25.9","1","-29.0","0","",,NA,"16.6","1",NA,"","3","",,NA,"524.0","0.0","3027582"
"AZURE","50.512","-114.013","AB","0.8","1",NA,"26.7","1","-18.5","0","",,NA,"12.4","19",NA,"","3","",,NA,"498.0","0.0","3030450"
"BARNWELL AGDM","49.800","-112.300","AB","3.5","4",NA,"29.1","3","-22.5","1","",,NA,"17.1","5",NA,"","4","",,NA,"377.3","0.0","3030525"
"BARONS AGCM","50.026","-113.224","AB","1.1","1",NA,"28.2","1","-23.7","0","",,NA,"28.9","1",NA,"","6","",,NA,"488.8","0.0","3030529"
"BASSANO AGCM","50.893","-112.465","AB","0.3","1",NA,"28.1","1","-26.1","0","",,NA,"12.7","1",NA,"","3","",,NA,"512.0","0.0","3030540"
"BLACK DIAMOND","50.707","-114.152","AB","0.0","1",NA,"26.2","1","-21.5","0","",,NA,"10.5","20",NA,"","2","",,NA,"520.7","0.0","3030680"
"BLOOD TRIBE AGDM","49.567","-113.050","AB","2.4","5",NA,"28.3","4","-21.2","1","",,NA,"23.6","13",NA,"","5","",,NA,"388.9","0.0","3030720"
"BOW ISLAND","49.734","-111.450","AB","3.0","1",NA,"28.2","1","-19.3","0","",,NA,"10.1","1",NA,"","5","",,NA,"434.2","0.3","3030768"
"BOW ISLAND IRRIGATION AGDM","49.867","-111.383","AB","3.7","1",NA,"28.0","1","-16.3","0","",,NA,"11.1","3",NA,"","3","",,NA,"416.0","0.7","3030772"
"BROCKET AGDM","49.617","-113.817","AB","1.8","2",NA,"26.3","2","-18.8","0","",,NA,"23.8","5",NA,"","7","",,NA,"452.4","0.0","3030830"
"BROOKS","50.555","-111.849","AB","2.1","1",NA,"29.0","1","-21.6","0","",,NA,"10.5","1",NA,"","3","",,NA,"461.7","0.0","3030QLP"
"CALGARY INTL A","51.123","-114.013","AB","1.6","0",NA,"26.0","0","-15.7","0","24.6","0",NA,"29.7","0",NA,"","5","",,NA,"492.4","0.0","3031092"
"CALGARY INT'L CS","51.109","-114.000","AB","0.9","0",NA,"26.3","0","-16.1","0","",,NA,"21.3","0",NA,"","6","",,NA,"512.5","0.0","3031094"
"CARDSTON","49.201","-113.286","AB","2.8","1",NA,"27.1","1","-18.5","0","",,NA,"36.4","1",NA,"","8","",,NA,"440.3","0.0","3031322"
"CARWAY","49.001","-113.376","AB","1.1","1",NA,"22.5","1","-18.6","0","",,NA,"33.0","1",NA,"1.0","8","",,NA,"489.4","0.0","3031402"
"CHAMPION AGDM","50.282","-113.350","AB","0.2","1",NA,"28.2","1","-23.3","0","",,NA,"21.4","1",NA,"","5","",,NA,"517.2","0.0","3031480"
"CLARESHOLM","50.004","-113.639","AB","1.5","1",NA,"28.3","1","-22.9","0","",,NA,"31.0","1",NA,"","7","",,NA,"478.7","0.0","3031640"
"COP UPPER","51.076","-114.222","AB","2.3","1",NA,"26.4","1","-16.0","0","",,NA,"15.2","13",NA,"","3","",,NA,"455.4","0.0","3031875"
"ENCHANT AGDM","50.183","-112.433","AB","2.0","1",NA,"28.4","1","-21.5","0","",,NA,"21.2","3",NA,"","3","",,NA,"464.1","0.0","3032422"
"ETZIKOM AGCM","49.553","-111.054","AB","2.5","1",NA,"27.4","1","-18.8","0","",,NA,"9.8","3",NA,"","3","",,NA,"448.8","0.0","3032450"
"FINCASTLE AGDM","49.800","-112.033","AB","2.8","1",NA,"28.7","1","-20.3","0","",,NA,"17.0","3",NA,"","5","",,NA,"439.4","0.0","3032550"
"FOREMOST AGDM","49.483","-111.486","AB","1.4","17",NA,"27.7","16","-22.0","14","",,NA,"7.5","17",NA,"","3","",,NA,"215.5","0.0","3032642"
"FORT MACLEOD AGCM","49.786","-113.379","AB","2.2","1",NA,"27.9","1","-20.9","0","",,NA,"24.6","8",NA,"","7","",,NA,"458.1","0.0","3032683"
"GLEICHEN AGCM","50.934","-112.941","AB","0.3","1",NA,"27.6","1","-21.9","0","",,NA,"12.2","1",NA,"","3","",,NA,"512.5","0.0","3032801"
"GRASSY LAKE","49.874","-111.733","AB","2.8","3",NA,"28.7","3","-18.0","0","",,NA,"16.4","7",NA,"","4","",,NA,"412.0","0.3","3032927"
"IRON SPRINGS AGDM","49.900","-112.733","AB","2.4","8",NA,"24.9","8","-20.0","0","",,NA,"26.8","9",NA,"","5","",,NA,"342.2","0.0","3033498"
